Tweet_Id,Author,Content
1785147174634053740,AB Da Vinc,Wasit emng Bangsat
1709376721378799737,🏴,"Gua gedeg banget liatnya asw, semoga ada keadlian gen! ✊🏼"
1834168603496821057,Arbié,hmm oke thx infonya
1834068248326709657,Dakwa Pedia,Paling enak buat lalapan
1787856028857663881,\m/,"Emang JANCOK. 
wis gk bisa komentar apa2 lagi kalo bener keparat thailand ini lg yg megang VAR. 
Jumlah wasit UEFA ada RIBUANLHO!! 
NGAPAIN JAUH2 MANGGIL THAILAND ASUW!! 
Udah 2x dikerjain di AFC ASIAN Cup
Kok mau hat-trick di Playoff 
Mbuh wis mbuh.!!!! https://t.co/VgHGnzyxvX"
1709357969895469221,ibnualhafidz,WAHH DZOLIM INI WASIT.
1785217357201477941,Firman4Rikiplik🇲🇨,https://t.co/CyrHmNBur8
1834163967553589701,yuanayu,Buat lalapan sedep bangett
1870476056484065437,anne𐦍 ༘⋆,Lagi coba nego dl
1781099523806462305,musuh seblak jarang on,report akun afc nya aja gasi min? gedek gua liatnya asu🫠
1699266033994125541,­—,"pecat wasitnya.
Btw earphone yg dipakai itu bisa juga buat dipakai curang ya"
1784994062883545176,Farhan Abbas,Spil ig wasit
1788627393500115013,d,"Tadinya mau tertutup, eh gak jadi.. mungkinkah ini ada kaitannya dengan elit global konspirasi tingkat empire dst dst sehingga bangsa indonesia tidak boleh percaya diri dan bangga walau cuma di sepak bola. Kabarnya juga timnas bakal dijegal lolos ke putaran ketiga."
1785126220365181330,Pika_Chu 🇮🇩🇮🇩🇮🇩,Semoga Jepang juara....
1788830846746791980,Lee Yeang Tae,Klo liat pertandingan yg fair jelas king indo msh juara di hati gw💪
1787717078352613460,Algie Imam Agestian,"Kok saya gak yakin ya. Masa iya jauh-jauh ke perancis, wasit var sesama asean. Kayak gak ada wasit lain di perancis."
1787742927516770738,Zam,emang gak ada yang lain?
1654787851656257538,Diantara Dua,"Kebijakan varnya bagus, tapi masih ga yaki ndpt diimbangi dgn sdm dalam negeri yg begitulahhhj... Meskipun sdh ditraining, pribadi masih ga yakin dpt menerapkan sebaik mungkin wkwkwkwk"
1654923714302201856,Zainal Abidin,"Pak, pra kualifikasi ACL bentrok sama fifa match day, tolong diperhatikan 🙏 pak @erickthohir"
1834151078600081733,kenan,ga doyan daun ini huhu
1785000314195861628,Den prasztya,"Gua jadi inget marc Marquez, berkali-kali crash bangkit,crash bangkit,terpuruk bangkit.....
Ayoooo tegakkan lagi kepala kalian TIMNAS...
DON'T BE SAD...
TUNJUKKAN KEPADA DUNIA"
1784993712168403166,Muhammad Al Ghifari,"Witan dua kali dilanggar, yg kedua sengaja ke arah kaki di depan wasit tapi gk langsung niup peluit dan gk kartu sama sekali"
1870477579683234066,Furrahman,Korupsi terussss...sepak bolamu bobrok !!!
1870476004726358340,🦇,billing e entek
1788727702163460221,kalle,Dari lapangan malah kaya fun soccer ya🥴
1785315107524018363,Tj,https://t.co/HXwqVXMjNb
1654801601717243904,Adip,Layak ditunggu
1654824514491158530,.,"taun depan ada pemilu 

untungnya ngepas sama jadwal piala asia jdnya ga terlalu ribet untuk ngatur jadwalnya"
1834034787314794973,anciá,daun kemangi wangi ya katanya
1870475975810797760,H.Rohman,Wasite var teko myanmar suu
1787674626275086455,"twit ini, isinya","Setakut itu kah, AFC dgn king indo??"
1787655101190164543,inisial D 🇵🇸,Var tailand tandai gaes ..
1787723860726673556,Muslim Suarman,Loe lagi loe lagi si popcorn bangsat
1788702149179822375,Nur Bagus,"Emang mau dijegal Timnas, konspirasi.."
1785118863472083294,Something Blue,kardus
1785004092580040968,rah👻,Setakut itu kah untuk melawan king indo? Ampun dah ah
1787835048240247003,nalin,SIVA LU MAEN SAMA LADUSING AJA BJIR GAUSA MAENIN VAR 😭🙏🏻
1870476059344564364,rou ☼,Sabar ti lagi diedit
1654851131561115648,Live like a Cactus,Wasitnya di training bener2 ya pak
1870477625376006607,Story Yans,PC nya i9 tapi gen 2 xixixi
1654780816428519424,FANSVERDE,terus bikin sanksi jg buat club yg fansnya merusuh atau melanggar aturan. yakni turun kasta atau di coret de liga
1780984757901508832,Kim Do Ki,"jgn lupa dia juga wasit var yg ngasih iraq sah gol kontroversial di piala asia senior kmrn, bangke emang wasit ini dendam banget ama indo"
1709284550965424555,Giberway,Are you happy with this. Bagian yg ini sangat menyakitkan. KOPS
1785157785023545560,ewon Ichwan,VAR seakan akan menambah celah kekuatan mafia
1654799549851140104,Supernatural,Super league Indonesian
1870475951152480410,d w,Cek Rekening
1781134445392875836,Atta Ardiansyah,Untuk kali ini saya ikhlas qavar menang untuk Indonesia terbebas dari peringkat 3🤭
1709363675914809514,yooshi,"Emg yg sampah itu si simon, hrs diselidiki PPTK rekeningnya🤣"
1654794077882437637,hmmmjld_,"Jangan lupa yang terpenting pak, KUALITAS KINERJA WASITTT!! @erickthohir"
1654789962171305985,sakulll,training ke supporter juga pak biar ga kampung
1709262764831895653,alea🧚🏻‍♀️,parah
1785213852600475809,Zero waste,"Satu2nya peluang sananta ngoper ke Ferarri goll ehh dianulir,,,jancukkk"
1709349566825542081,𝒛𝒆𝒗,udah gila nih wasit botak🤣
1834234460310810665,aurora,aku gasuka kemangi
1834157590164766896,kamu,aku tadi masak kemangi
1781015441617621224,NyimaQSenior,Terbukti tuh min goal ke-2 Qatar jelas² pemain Jordan ditarik depan w45h1t
1834026808922235183,alam,"Daun kemangi adalah bagian dari tanaman kemangi (Ocimum basilicum var. thyrsiflora) yang sering digunakan dalam masakan. Daun ini memiliki aroma yang khas, menyegarkan, dan sedikit pedas. Dalam masakan Indonesia, daun kemangi sering digunakan sebagai lalapan, dalam sambal, atau https://t.co/s9dipravAy"
1709262934936031376,Cahyo,jadi fix salahnya si botak biadab nih
1788722910880055776,Abdi,Kayaknya emang beberapa negara belum bisa terima kenyataan kalau kualitas sepakbola Indonesia makin cakep.
1780983528190263305,MuhSukri,Habis itu jordan
1788610295981801843,🐢,"Menang merayakan
Kalah menjelaskan
Jangan kayak decul ngapa cokkkm"
1709261401095811410,Alvarogszn,Gblog anj di asisten varnya knpa ga minta berhentiin dan periksa ulang s tlol bner
1834285120414736594,Groverd,suka enak banget
1784955917018255524,Aldy,"Wasit Shen Yinhao asal Tiongkok lihat Witan dilanggar pemain Uzbekistan dan memberikan free kick utk Indonesia

VAR check untuk possible penalty. Setelah review, free kick-nya malah di-cancel

Halalkan segala cara untuk hentikan King Indo? 🤔

#TimnasDay https://t.co/ixFcXIW5vL"
1788783672226963847,Teuku Gandawan Xasir,"Patut diduga realitanya adalah FIFA, AFC dan AFF belum mau menerima hadirnya Indonesia sebagai anggota baru pusat peredaran uang seputar sepakbola dunia. Selama itu begitu, selama itu pula kita akan bertarung melawan Tim Wasit. https://t.co/IRUyp3L5AC"
1788746643766145070,Vroly07,"Wasit sekelas Francois Letexier msh bisa blunder, wkt pimpin Madrid vs City di Bernabeu aman² saja padahal."
1654809466452475906,aziz,Gak bahaya ta
1834035017829548232,youzhi (ू•ᴗ•ू❁),buat lalpan atau dibuat sambel enak si inii
1870476158208299155,dafa_ achyar,Pengen kencing sial wkwk
1787744790161047574,Ulun Iswara,"ketika udh dijagoin sama bandar, maka sivakorn bertindak

https://t.co/cLNGDYEZbz"
1787723714957910048,Bambang Dwi Cahyo,Kalo ini bener berarti @theafcdotcom nya ga beres. Asia vs Afrika harusnya wasit dari Timor Leste dong biar fair
1709269923019776311,Kaki5Inside,bener bener
1785127466601967729,adit sedunia,kejanggalan udah keliatan mulai dari nomer 2 jadi kesininya ga heran kalo ke Indonesia sensi
1788814544237961401,SniperCrazy,"Karena pada takut min garuda muda berkibar , apapun itu kami bangga dengan garuda muda smpai sejauh ini ,, swmngat terus ya mengharumkan nama bangsa"
1870476013140107516,Pands,gakena itu jing
1870476115346919841,-otak,Sabarr gess
1709371401680167066,. . .,Sampe ada biiippp biiippp beberapa kali saking panik sama bingungnya kok masih dilanjut pertandingannya 🤣🤣🤣
1834207454567223705,LEOLA🐬,Enak banget dicampur samaa sambel
1834127770227536113,dea,lalapan sejuta umat
1870476198507385208,Dimdimskyy,dada itu anjengggg
1699208045572854258,Wildanun Mukholadun,Wkwk ngeri
