Tweet_Id,Author,Content
1890739863323910280,☠︎︎,Faktanya miris banget ya
1890845174542090318,Tania,Makin sulit ya hidup di negara ini
1890887650501914995,Hito,Ya Allah sedih banget liatnya
1890960625896915205,Om om Random,Bahlil dgn gigi ompongnya santai nyeruput Hibiki sambil nelpon 9 naga
1890752618474938810,Kusumo Arief Atmojo,indonesia emas 2045 semoga beneran ya
1890696745316667892,nicko,semoga diberikan kemudahan
1890712826001424752,Putridiana💃,Iya juga sih emang itu bener sulit banget
1890683369240899625,Mind & Mystery Threads,waduh udah chaos banget ya
1890695083797692496,putqal🌻🦖,Sesusah ini ya
1890789449224573067,Aku😺,Bagi tugas ya  hehe
1890979503725535249,elle,"Gaji cukup buat makan, tapi nggak cukup buat mimpi. Mau nabung, tapi habis di kebutuhan. Mau ngeluh, tapi takut dibilang kurang bersyukur."
1890692565197885682,Ar1.,Terus cari kehidupan yang layak dong
1890708812258066661,R'na,Ya begitula warga +62 makin sinih juga makin banyak pengangguran
1890793602973864092,karin ꣑ৎ,Kenapa ya semakin miris banget
,,
1890774594484568219,KsatriaBajaRingan,Once upon a time di sebuah negara yg tidak becus diurus oleh pemerintah nya bertahun tahun
1890796819040379219,astvrh,Udah mulai Ngantri semua ya
1890732331721248825,Ratu Jodha 🦋,Smoga di mudahkan smua kanb yaa
1890786385117716773,FH,"satu kata, mirissss"
1890692435925229812,✨💫💌🍄🧃🎀,Semuanya pakai antri aja ya kak capek deh
1890795578386227635,about cowek,"Semuanya ada bagian untuk ""antri"" yaa :))"
1890737930911551768,Jena Vey,"kak sedih jadinya, negara apa sih ini"
1890751223516508286,Andi Jauhari,#KaburAjaDulu
1890945799372087679,Wahid_Muh_Hamma,"Dari dulu prasaan juga gini,"
1890772349684744326,cantika🌸,sumpah knp disini sulit banget
1890682301769523381,agistalita,#KaburAjaDulu https://t.co/HpUPQv8Nue
1890693405774135503,Papi Ucit,Asli klo msh muda mah gw kabur k LN
1890726101963391396,Marissa Aillen,negara ini suka banget ngantri gitu ya
1890801841845436525,Bruce Wayne,kadang pengen juga kabur ke luar negri ya
1890683559347679380,Diancinta,Udah komplit banget sih tentang di negara ini mah setiap keluarganya udah pada ngantri
1890690446046663012,Tama,mau kabur kemana ya kak
1890739953652433247,Valisa,kalopunya duit bakal kabur sih aku😭😭
1890759477751660818,daphneee,Miris banget 😭😭
1890856596361658706,pablo.,Bagi tugas yaa
1890851034169245748,Zahra,Beginilah realita hidup di negra ini
1890686244721467830,Mars 🦢,Kacau miris banget emang negara ini
1890712444005192052,Envy 🐢,antri semua ya gini amat di Indonesia
1890738489550848140,Oid.,Complete ini satu keluarga ya
1890862266939003122,clyno,Pada dapat bagian semua ya
1890698598314119463,Dayu Dolma,Begini amat ya kak hidup
1890703844218188008,Silfinov,Selamat datang di negeri yang sulit 🥲
1890753135188049948,thalia,Tapi tapi mau kabur aja dulu kmn
1890685498504384896,peh,Miris banget ya keadaan kita sekarang ternyata
1890798081588785558,hiii,kaisan bgt kalo dibikin kaya gini
1890785828592402875,kenan,susah bgt idup di indo
1890752155612520769,𝙾𝙼𝙹 𝑻 𝑳𝒖𝒄𝒌𝒚²,Semoga indonesi bisa bangkit lagi
1890775936078848224,jese,Keren bgt negara ini tuh
1890684663695388775,Jaenab,kacau sudah negara ini wkwk pgn bgt kabur rasanya
1890698467564998771,el,hahaha sedih bgt sedih
1890748022310482319,bunga hati ✿,Semoga negeri ini masi bisa diselamatkan
1890874341987844476,Tips Excel,sakit bgt liat negara ini
1890768837223555443,Reyhans,kalo ada duitnya pasti pindah sih
