Tweet_Id,Author,Content
1769980621219377362,.,@gongxifdl Iyadong wkqkqk
1769977015271346328,aldo,@Indostransfer berarti yang lolos ke championship nemenin borneo &amp; persib adalah Bali dan Solo
1769987641871835596,dp,@Indostransfer Boleh sebats kaga itu didalam truk
1769987971611246705,.,@Dhepe08 Nggak. Ruangan ber AC.
,,
1770076591651271009,.,"@haasan182 asumsiku Persib berkandang di SJH ini untuk sementara aja, artinya kalo nanti GBLA udah rampung renovasinya ya Persib balik kesana lagi.

Nah setelah di renov itu krn udh ada perbaikan dalam segi standar setelahnya bisa dipasang VAR tetap juga disana"
1769978800442589214,deldeldeldel,@Indostransfer Wasit var nya berarti standbye dalem truk ndos?😆
1769977487600280008,.,@wonocinno Cocokologi teruuussss
1769977216321163555,Jan.,@Indostransfer Yg VAR tetap itu ke depannya ada kemungkinan nambah di stadion lain nggak sih Ndos?
1769977517610512534,.,@LFC_Jan Nungkin nambah ya seiring ada stadion yg renov juga kan dri PUPR
1769976105468104944,.,"🔜👀 VAR UNTUK 🇮🇩 LIGA 1 2024/25?!

Operator kompetisi sepakbola Indonesia, PT. LIB memperkenalkan truk VAR untuk memfasilitasi teknologi VAR (Video Assistant Referee) di pertandingan 🇮🇩Liga1.

Truk VAR tersebut  merupakan hasil dari kerjasama antara PT. LIB dengan PT. MTU https://t.co/VPdnEgY8Sp"
1770076014338884074,Haasan B Orlinski,"@Indostransfer kok SJH ga ada ya, kan bekas venue WC U17"
